ID;Grupo Funcional;Función química ;Nombre_Sustrato;Formula_Sustrato;PM_Sustrato;PE_Sustrato °C;Incertidumbre PE;Densidad_Sustrato  g/cm³;Incertidumbre densidad;pKa_Sustrato;Incertidumbre Pka;LD50_Sustrato mg /kg;Nombre_Reactivo 1;Fórmula Molecular 1;Nombre_Reactivo 2;Fórmula Molecular 2;Nombre_Reactivo 3;Fórmula Molecular 3;Nombre_Catalizador 1;Catalizador 1;Nombre_Catalizador 2;Catalizador 2;Nombre_Catalizador 3;Catalizador 3;Nombre_Catalizador 4;Catalizador 4;Nombre_Solvente 1;Formula Solvente 1;Nombre_Solvente 2;Formula Solvente 2;Nombre_Solvente 3;Formula Solvente 3;Temperatura;Nombre_Medio;Medio;Nombre_Producto;Formula_Producto;PM_Producto;PE_Producto;Incertidumbre PE;Densidad_Producto;Incertidumbre densidad;pKa_Producto;Incertidumbre Pka;LD50_Producto Mamifero mg /kg;Tipo_Reaccion;Nombre_Reaccion;
AMD25;Amidas;–CONH2;Isobutiramida;C4H9NO;87.12;221.00;0.00;0.91;0.06;16.60;0.50;0.00;Azida de potasio;KN3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Benceno;C6H6;0.00;0.00;0.00;0.00;0.00;Calor (Reflujo);Térmico;Isocianato de isopropilo;C4H7NO;85.10;74.50;0.00;0.88;0.14;7.00;0.00;0.00;Reordenamiento;Formación de isocianatos;
AMD26;Amidas;–CONH2;2 - Metilbutanamida;C5H11NO​​​​;101.15;181.00;0.00;0.90;0.06;16.67;0.50;0.00;Azida de potasio;KN3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Benceno;C6H6;0.00;0.00;0.00;0.00;0.00;Calor (Reflujo);Térmico;Isocianato de sec-butilo;C5H9NO;99.13;100.50;0.00;0.88;0.14;7.00;0.00;0.00;Reordenamiento;Formación de isocianatos;
AMD27;Amidas;–CONH2;2 - Metilpentanamida;C6H13NO;115.17;245.00;8.00;0.90;0.06;16.68;0.50;0.00;Azida de potasio;KN3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Benceno;C6H6;0.00;0.00;0.00;0.00;0.00;Calor (Reflujo);Térmico;Isocianato de 2-pentilo;C6H11NO;0.00;0.00;0.00;0.00;0.00;7.00;0.00;0.00;Reordenamiento;Formación de isocianatos;
AMD28;Amidas;–CONH2;Pivalamida;C5H11NO​​​​;101.15;207.00;9.00;1.10;0.00;16.60;0.50;0.00;Azida de potasio;KN3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Benceno;C6H6;0.00;0.00;0.00;0.00;0.00;Calor (Reflujo);Térmico;Isocianato de terc-butilo;C5H9NO;99.13;85.50;0.00;0.00;0.00;7.00;0.00;0.00;Reordenamiento;Formación de isocianatos;
AMD29;Amidas;–CONH2;2. 2 - Dimetilbutanamida;C6H13NO;115.17;223.00;9.00;0.90;0.06;16.67;0.50;0.00;Azida de potasio;KN3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Benceno;C6H6;0.00;0.00;0.00;0.00;0.00;Calor (Reflujo);Térmico;Isocianato de 2-metil-2-butilo;C6H11NO;0.00;0.00;0.00;0.00;0.00;7.00;0.00;0.00;Reordenamiento;Formación de isocianatos;
AMD30;Amidas;–CONH2;Butanamide;C4H9NO;87.12;216.00;0.00;0.89;0.00;17.00;0.40;0.00;Azida de potasio;KN3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Benceno;C6H6;0.00;0.00;0.00;0.00;0.00;Calor (Reflujo);Térmico;Isocianato de 2-metil-2-pentilo;C7H13NO;127.18;148.77;9.00;0.85;0.14;7.00;0.00;0.00;Reordenamiento;Formación de isocianatos;
AMD48;Amidas;–CONH2;Pivalamida;C5H11NO​​​​;101.15;207.00;9.00;1.10;0.00;16.60;0.50;0.00;Azida de sodio ;NaN3 ;Trimetilsilil azida;TMSN3;0.00;0.00;DPPA ;C12H10N3O3P;DEAD;C6H10N2O4;  Tf2O;C2F6O5S2;0.00;0.00;Tetrahidrofurano ;C4H8O;0.00;0.00;0.00;0.00;0.00;Reflujo;Térmico;5-terc-butil-1H-tetrazol;C5H10N4;126.16;232.89;23.00;1.11;0.06;5.15;0.10;0.00;Cicloadicion;Síntesis de 5-sustituido-1H-tetrazoles;
AMD49;Amidas;–CONH2;2. 2 - Dimetilbutanamida;C6H13NO;115.17;223.00;9.00;0.90;0.06;16.67;0.50;0.00;hidruro de sodio;NaN3 ;"	
cloruro mercúrico";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;"	
Dimetilformamida";C3H7NO;0.00;0.00;0.00;0.00;0.00;Medio amortiguador básico;Basico;Butana mide.norte- [[[ 2- (1H- benzimidazol- 1- il ) - 1- (2. 4- diclorofenil ) etil] imino] [( 4- clorofenil ) amino] metil] - 2. 2- dimetil- (ACI);C28H28Cl3N5O;556.91;0.00;0.00;1.31;0.14;11.48;0.46;0.00;Sustitución Nucleofílica;Adición de aminas a aldehídos. cetonas o tiocarbonilos;
AMD50;Amidas;–CONH2;Butanamide;C4H9NO;87.12;216.00;0.00;0.89;0.00;17.00;0.40;0.00;0;0;0.00;0.00;0.00;0.00;"	
Rodio. tetrakis [μ- (α. α- difenil benceno cetato- κO: κO′ )] di- . (Rh-Rh)
3- [[ 3. 5- Bis (trifluorometil ) fenil] amino] - 4- [[( 8α. 9S) - 10. 11- dihidro- 6′- metoxici…";C32H30F6N4O3;0.00;0.00;0.00;0.00;0.00;0.00;Diclorometano;CH2Cl2;0.00;0.00;0.00;0.00;0.00;Medio orgánico anhidro fuertemente básico;Basico;Ácido bencenoacético . α- [( 1- oxobutil) amino] - . éster metílico. (αR) - (ACI);C13H17NO3;235.28;391.72;30.00;1.10;0.06;14.23;0.46;0.00;Sustitución Nucleofílica;N-alquilación de amidas/imidas o reacción de Mitsunobu;
AMD31;Amidas;–CONH2;Acetamida;C2H5NO;59.07;222.00;0.00;1.16;0.00;25.50;0.00;0.00;Bromo en solución alcalina;Br2 / NaOH;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Agua;H2O;0.00;0.00;0.00;0.00;0.00;Básico / Calor;Básico;Metilamina;CH5N;31.06;-6.30;0.00;0.66;0.00;10.60;0.00;0.00;Reordenamiento;Degradación de Hofmann;
